slug,name,source_url
"allen-bradley","View All Products","https://www.obsoautomation.com/brand/allen-bradley/"
"siemens","View All Products","https://www.obsoautomation.com/brand/siemens/"
"lenze","View All Products","https://www.obsoautomation.com/brand/lenze/"
"schneider","View All Products","https://www.obsoautomation.com/brand/schneider/"
"mitsubishi","View All Products","https://www.obsoautomation.com/brand/mitsubishi/"
"indramat","View All Products","https://www.obsoautomation.com/brand/indramat/"
"abb","ABB","https://www.obsoautomation.com/brand/abb/"
"beijer","BEIJER ELECTRONICS","https://www.obsoautomation.com/brand/beijer/"
"omron","OMRON","https://www.obsoautomation.com/brand/omron/"
"leroy-somer","LEROY SOMER","https://www.obsoautomation.com/brand/leroy-somer/"
"yaskawa","YASKAWA","https://www.obsoautomation.com/brand/yaskawa/"
"siemens","SIEMENS","https://www.obsoautomation.com/brand/siemens/"
"allen-bradley","ALLEN BRADLEY","https://www.obsoautomation.com/brand/allen-bradley/"
"siemens","SIEMENS","https://www.obsoautomation.com/brand/siemens/"
"allen-bradley","ALLEN BRADLEY","https://www.obsoautomation.com/brand/allen-bradley/"
"lenze","LENZE","https://www.obsoautomation.com/brand/lenze/"
"schneider","SCHNEIDER","https://www.obsoautomation.com/brand/schneider/"
"mitsubishi","MITSUBISHI","https://www.obsoautomation.com/brand/mitsubishi/"
"indramat","INDRAMAT","https://www.obsoautomation.com/brand/indramat/"
"abb","ABB","https://www.obsoautomation.com/brand/abb/"
"beijer","BEIJER ELECTRONICS","https://www.obsoautomation.com/brand/beijer/"
"leroy-somer","LEROY SOMER","https://www.obsoautomation.com/brand/leroy-somer/"
"omron","OMRON","https://www.obsoautomation.com/brand/omron/"
"yaskawa","YASKAWA","https://www.obsoautomation.com/brand/yaskawa/"
